epoch,loss_d,loss_g
564,1.7604,1.0438
565,1.7900,0.9695
567,1.7684,0.9567
568,1.7780,1.1064
570,1.8112,1.0479
571,1.7915,0.9086
573,1.7294,1.0879
574,1.7619,1.0909
576,1.7376,1.1182
578,1.7780,1.0507
579,1.7561,1.1156
581,1.7650,0.9240
582,1.7222,0.9438
584,1.8074,1.0329
585,1.7755,0.9742
587,1.7659,0.9871
589,1.8306,0.8308
590,1.8489,1.0734
592,1.8144,0.9659
593,1.7839,1.1151
595,1.7812,1.0085
596,1.7400,0.9869
598,1.7809,0.8437
599,1.8040,0.9246
601,1.7834,1.0840
603,1.7550,1.0894
604,1.8227,1.0807
606,1.7822,0.9281
607,1.8010,0.9315
609,1.7785,1.0158
610,1.7760,1.0539
612,1.7607,1.2084
614,1.7725,1.0293
615,1.7677,1.1802
617,1.7540,1.0647
618,1.7753,1.0947
620,1.7601,1.0282
621,1.7957,1.0817
623,1.7484,1.2290
624,1.7172,1.1381
626,1.7576,1.0204
628,1.7464,1.0538
629,1.7663,1.0122
631,1.7682,1.0468
632,1.7865,1.0657
634,1.7616,0.9932
635,1.7596,1.0638
637,1.7432,1.1754
639,1.7566,1.0215
640,1.7455,0.9680
642,1.7635,1.1002
643,1.7936,1.1813
645,1.7834,0.9599
646,1.8405,0.9431
648,1.8016,1.1246
649,1.7486,0.8440
651,1.7371,0.9673
653,1.7282,0.9060
654,1.8187,1.0712
656,1.8099,0.9000
657,1.7814,1.0626
659,1.7547,0.9003
660,1.7448,1.0946
662,1.7749,0.9442
664,1.7482,1.1015
665,1.7711,1.0204
667,1.7687,1.0998
668,1.7761,1.0050
670,1.7571,1.2185
671,1.7349,1.0794
673,1.7713,1.0635
674,1.7510,1.0232
676,1.7573,1.0629
678,1.8037,1.2182
679,1.7510,0.9502
681,1.8086,1.0411
682,1.7732,1.0372
684,1.7614,1.1658
685,1.8235,1.1224
687,1.7845,0.9523
689,1.7676,1.1632
690,1.7937,0.9939
692,1.7687,1.0009
693,1.7815,1.0513
695,1.7809,0.9862
696,1.7650,0.9916
698,1.8202,0.9256
699,1.7367,0.8483
701,1.7911,0.9965
703,1.7819,1.0041
704,1.7368,1.1224
706,1.7685,1.0172
707,1.7468,1.1563
709,1.7844,1.0521
710,1.7775,0.9940
712,1.7366,0.9880
714,1.7845,1.0235
715,1.7655,0.9664
717,1.7824,0.9312
718,1.7465,1.0709
720,1.7744,1.0718
721,1.7227,0.9811
723,1.7895,0.9248
724,1.7145,1.0805
726,1.7372,1.0795
728,1.7678,0.8755
729,1.7364,1.2171
731,1.7810,0.9731
732,1.7514,1.0237
734,1.7553,1.1522
735,1.7438,1.0413
737,1.7433,0.9920
739,1.7548,0.9900
740,1.7685,0.9857
742,1.8071,1.0562
743,1.7545,1.1962
745,1.7373,1.0805
746,1.7503,0.9482
748,1.6966,1.2943
749,1.6932,0.9124
751,1.7359,1.0344
753,1.7121,1.0713
754,1.7710,1.1315
756,1.7953,0.9398
757,1.7694,1.2409
759,1.7560,1.0471
760,1.7663,1.1977
762,1.7670,1.0854
764,1.7669,0.9965
765,1.7906,0.9181
767,1.8082,1.0459
768,1.8110,1.1264
770,1.7811,0.9593
771,1.8176,1.0372
773,1.7830,0.9259
774,1.7385,0.8875
776,1.7472,0.9802
778,1.7505,1.2024
779,1.7706,1.2065
781,1.7823,1.0750
781,1.7823,1.0750
782,1.7165,1.1792
784,1.7797,1.0517
785,1.7852,0.9132
787,1.7831,1.0861
789,1.7510,0.9672
790,1.7428,1.1447
792,1.7133,0.9870
793,1.7897,1.1612
795,1.7559,1.1043
796,1.7872,0.9847
798,1.7612,1.1110
799,1.7051,1.0367
801,1.7803,1.1564
803,1.7933,1.1195
804,1.7711,1.1945
806,1.7676,1.1434
807,1.7126,1.0866
809,1.7482,0.8979
810,1.7772,1.0382
812,1.7370,0.9665
814,1.7877,1.0548
815,1.7947,1.3120
817,1.7769,1.0289
818,1.7390,0.9117
820,1.7716,1.0268
821,1.7167,1.1395
823,1.7686,1.3075
824,1.7161,1.0140
826,1.7570,0.9894
828,1.7431,1.1997
829,1.7813,1.0526
831,1.7481,0.9440
832,1.7737,0.9771
834,1.7744,1.0251
835,1.7351,1.2254
837,1.7775,1.0248
839,1.7851,1.2040
840,1.7393,1.2562
842,1.7800,1.0775
843,1.7703,1.0337
845,1.7565,0.9896
846,1.7716,0.9303
848,1.7056,1.0635
849,1.7572,0.9732
851,1.7517,1.0321
853,1.7770,1.0556
854,1.7433,0.9808
856,1.7452,1.0395
857,1.7770,0.9690
859,1.7375,1.0888
860,1.7498,1.0041
862,1.7495,1.0538
864,1.7621,1.0047
865,1.7212,1.0584
867,1.7370,1.0883
868,1.7282,1.0236
870,1.7599,0.8699
871,1.7160,1.0729
873,1.7744,1.0294
874,1.6980,1.0259
876,1.7670,1.0564
878,1.7175,1.1640
879,1.7703,0.9447
881,1.7199,0.9824
882,1.7149,1.1854
884,1.7642,1.2772
885,1.7755,1.0130
887,1.7769,1.1012
889,1.7396,1.0838
890,1.7406,1.2537
892,1.7249,1.0943
893,1.7464,0.9855
895,1.7789,0.9883
896,1.7428,1.0795
898,1.7441,0.9001
899,1.7350,0.9949
901,1.7275,1.0329
903,1.7604,0.9560
904,1.7981,0.8729
906,1.7363,1.0746
907,1.7568,1.0755
909,1.7296,1.0860
910,1.7740,0.9437
912,1.7420,0.9604
914,1.7667,0.9913
915,1.7605,1.0359
917,1.7621,0.9935
918,1.7723,1.0225
920,1.7875,1.0501
921,1.7354,1.2338
923,1.7459,1.1195
924,1.7076,1.3474
926,1.7360,0.9373
928,1.7866,1.1602
929,1.7453,0.9584
931,1.7603,1.1326
932,1.7220,0.9642
934,1.7614,1.0536
935,1.7084,1.0542
937,1.7059,0.9451
939,1.7753,0.9953
940,1.7599,1.0211
942,1.7824,1.0083
943,1.7299,0.9848
945,1.7152,1.2717
946,1.7678,1.1174
948,1.7642,1.0612
949,1.6929,0.9985
951,1.7618,1.0771
953,1.7772,1.0612
954,1.7441,0.9430
956,1.7596,1.0641
957,1.7741,1.2126
959,1.7417,0.8866
960,1.7610,1.1173
962,1.7655,1.0726
964,1.8001,1.0782
965,1.7531,0.9729
967,1.7488,1.1174
968,1.7519,1.1872
970,1.7249,0.9420
971,1.7564,1.0409
973,1.8373,1.2128
974,1.6796,1.0052
976,1.8056,0.9115
978,1.7136,1.1141
979,1.7065,0.9972
981,1.7288,1.2178
982,1.7362,0.9877
984,1.7817,0.8596
985,1.7441,0.9726
987,1.7953,1.2146
989,1.7304,1.0106
990,1.7391,1.0790
992,1.7766,1.0066
993,1.7768,0.8371
995,1.7410,1.0673
996,1.7267,1.0087
998,1.6996,1.0085
999,1.7225,0.9897
1001,1.7463,1.0606
1003,1.7447,1.1656
1004,1.7458,0.9405
1006,1.7740,1.2636
1007,1.7338,1.0827
1009,1.7193,0.8718
1010,1.7540,1.1427
1012,1.7438,1.0566
1014,1.7492,0.9161
1015,1.7566,1.0998
1017,1.7948,0.9814
1018,1.7549,1.0934
1020,1.7501,1.0039
1021,1.7799,1.1233
1023,1.7634,1.1924
1024,1.7259,0.9188
1026,1.7264,0.9998
1028,1.7519,1.1397
1029,1.7332,1.0392
1031,1.7534,0.9692
1032,1.7350,1.1315
1034,1.7261,1.2189
1035,1.7300,1.0284
1037,1.7539,1.0958
1039,1.7899,1.1135
1040,1.7523,1.0385
1042,1.7420,1.0855
1043,1.7952,0.9133
1045,1.7170,0.9554
1046,1.7405,1.0312
1048,1.7410,0.9469
1049,1.7297,0.8966
1051,1.7191,0.9995
1053,1.7449,1.0744
1054,1.7467,1.1420
1056,1.7750,1.1902
1057,1.7793,0.8419
1059,1.7999,0.9331
1060,1.7804,1.1403
1062,1.7396,0.9521
1064,1.7238,1.0236
1065,1.7396,1.2038
1067,1.7753,1.0273
1068,1.7373,0.9984
1070,1.7321,1.1702
1071,1.7269,1.0098
1073,1.7995,1.2245
